## Fri Jul 18 16:34:17 2025,,,,,,,,,,,,,,,,,,,,
## emapper-2.1.12,,,,,,,,,,,,,,,,,,,,
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel,,,,,,,,,,,,,,,,,,,,
##,,,,,,,,,,,,,,,,,,,,
#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
QGA73665.1_cell-division-protein-FtsH-like-protein-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1720,0,921,"COG0465@1|root,KOG0731@2759|Eukaryota,2XEEJ@2836|Bacillariophyta",2836|Bacillariophyta,O,"Acts as a processive, ATP-dependent zinc metallopeptidase",-,-,-,-,-,-,-,-,-,-,-,-,"AAA,Peptidase_M41"
QGA73664.1_ribosomal-protein-L12-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWC9,2.93e-58,183,"COG0222@1|root,KOG1715@2759|Eukaryota",2759|Eukaryota,J,structural constituent of ribosome,rpl12,"GO:0000311,GO:0000313,GO:0000315,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0005911,GO:0006412,GO:0006518,GO:0006807,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009506,GO:0009507,GO:0009526,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009547,GO:0009570,GO:0009579,GO:0009605,GO:0009607,GO:0009617,GO:0009719,GO:0009725,GO:0009735,GO:0009941,GO:0009987,GO:0010033,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0030054,GO:0031967,GO:0031975,GO:0031976,GO:0031984,GO:0032991,GO:0034357,GO:0034641,GO:0034645,GO:0042221,GO:0042651,GO:0042742,GO:0043043,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0050896,GO:0051704,GO:0051707,GO:0055035,GO:0055044,GO:0071704,GO:0098542,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,"ko:K02863,ko:K02935","ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_L12,Ribosomal_L12_N"
QGA73663.1_ATP-synthase-C.1_delta-subunit-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1023,2.44e-90,269,"COG0712@1|root,KOG1662@2759|Eukaryota,2XERP@2836|Bacillariophyta",2836|Bacillariophyta,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",atpD,-,-,ko:K02113,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,OSCP
QGA73662.1_iron-sulfur-cluster-formation-ABC-transporter-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1319,1.65e-147,419,"COG0396@1|root,2QS88@2759|Eukaryota,2XFH5@2836|Bacillariophyta",2836|Bacillariophyta,Q,ABC transporter,-,-,-,-,-,-,-,-,-,-,-,-,ABC_tran
QGA73661.1_ATP-synthase-CF0-C-chain-subunit-III-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1290,3.31e-43,141,"COG0636@1|root,KOG0232@2759|Eukaryota,2XGQC@2836|Bacillariophyta",2836|Bacillariophyta,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",atpH,"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0032991,GO:0033177,GO:0034220,GO:0034641,GO:0034654,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044464,GO:0044769,GO:0045259,GO:0045263,GO:0046034,GO:0046390,GO:0046483,GO:0046933,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099131,GO:0099132,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600",-,ko:K02110,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,ATP-synt_C
QGA73660.1_ATP-synthase-CF0-B-chain-subunit-I-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1318,1.24e-67,211,"2CZSM@1|root,2SBID@2759|Eukaryota,2XFN0@2836|Bacillariophyta",2836|Bacillariophyta,C,"ATP synthase subunit b', chloroplastic",atpF,-,-,ko:K02109,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,ATP-synt_B
QGA73659.1_photosystem-I-assembly-protein-Ycf4-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1304,7.65e-98,287,"2CNI2@1|root,2QWGG@2759|Eukaryota,2XE1A@2836|Bacillariophyta",2836|Bacillariophyta,C,Seems to be required for the assembly of the photosystem I complex,ycf4,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,Ycf4
QGA73658.1_ATP-synthase-CF0-A-chain-subunit-IV-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1378,1.56e-151,428,"COG0356@1|root,KOG4665@2759|Eukaryota,2XF1K@2836|Bacillariophyta",2836|Bacillariophyta,P,it plays a direct role in the translocation of protons across the membrane,atpI,-,-,ko:K02108,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194,ko03110",3.A.2.1,-,-,ATP-synt_A
QGA73657.1_iron-sulfur-cluster-formation-ABC-transporter-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWI2,2.05e-291,802,"COG0719@1|root,2QRGW@2759|Eukaryota,2XEEX@2836|Bacillariophyta",2836|Bacillariophyta,O,Uncharacterized protein family (UPF0051),-,-,-,-,-,-,-,-,-,-,-,-,UPF0051
QGA73656.1_ATP-synthase-C.1_subunit-alpha-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1287,4.55e-309,848,"COG0056@1|root,KOG1353@2759|Eukaryota,2XEPU@2836|Bacillariophyta",2836|Bacillariophyta,F,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,-,-,3.6.3.14,ko:K02111,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194,ko01000",3.A.2.1,-,-,"ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N"
QGA73655.1_ATP-synthase-CF0-B_-chain-subunit-II-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft598,7.11e-68,209,"COG0711@1|root,2S8NX@2759|Eukaryota,2XFCS@2836|Bacillariophyta",2836|Bacillariophyta,C,"ATP synthase subunit b', chloroplastic",atpG,-,-,ko:K02109,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,ATP-synt_B
QGA73654.1_photosystem-II-protein-V-(chloroplast)-[Fragilariopsiscylindrus],159749.K0RTY3,5.31e-55,172,"2CHYC@1|root,2S3QA@2759|Eukaryota,2XGKP@2836|Bacillariophyta",2836|Bacillariophyta,C,"This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation",psbE,-,-,ko:K02707,"ko00195,ko01100,map00195,map01100",M00161,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,"Cytochrom_B559,Cytochrom_B559a"
"QGA73653.1_ribulose-1,5-bisphosphate-carboxylase/oxygenase-small-subunit-(chloroplast)-[Fragilariopsiscylindrus]",159749.E7BWI0,6.59e-68,207,"COG4451@1|root,2QTPB@2759|Eukaryota",2759|Eukaryota,C,ribulose-bisphosphate carboxylase activity,rbcS,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",4.1.1.39,ko:K01602,"ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200","M00165,M00166,M00532","R00024,R03140","RC00172,RC00859","ko00000,ko00001,ko00002,ko01000",-,-,iRC1080.CRv4_Au5_s2_g9202_t1,"RbcS,RuBisCO_small"
QGA73652.1_photosystem-I-assembly-protein-ycf3-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWD7,1.24e-61,195,"COG0457@1|root,KOG1124@2759|Eukaryota,2XE9K@2836|Bacillariophyta",2836|Bacillariophyta,S,Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits,ycf3,-,-,-,-,-,-,-,-,-,-,-,"TPR_1,TPR_8"
QGA73651.1_photosystem-I-protein-L-(chloroplast)-[Fragilariopsiscylindrus],159749.K0RF56,2.73e-87,258,"28NVH@1|root,2QVFH@2759|Eukaryota,2XFNZ@2836|Bacillariophyta",2836|Bacillariophyta,C,Photosystem I reaction centre subunit XI,psaL,-,-,ko:K02699,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,PsaL
QGA73650.1_ribosomal-protein-S18-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1251,6.73e-34,117,"KOG3162@1|root,KOG3162@2759|Eukaryota,2XH9V@2836|Bacillariophyta",2836|Bacillariophyta,J,Ribosomal protein S18,-,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,-,-,-,-,-,-,-,-,-,Ribosomal_S18
"QGA73649.1_ribulose-1,5-bisphosphate-carboxylase/oxygenase-large-subunit-(chloroplast)-[Fragilariopsiscylindrus]",159749.E7BWI1,0,936,"COG1850@1|root,2QTI9@2759|Eukaryota,2XE5R@2836|Bacillariophyta",2836|Bacillariophyta,Q,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site",-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",4.1.1.39,ko:K01601,"ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200","M00165,M00166,M00532","R00024,R03140","RC00172,RC00859","ko00000,ko00001,ko00002,ko01000",-,-,-,"RuBisCO_large,RuBisCO_large_N"
QGA73648.1_cytochrome-f-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWE1,4.98e-178,501,"2CMAK@1|root,2QPT8@2759|Eukaryota,2XE9B@2836|Bacillariophyta",2836|Bacillariophyta,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",petA,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",-,ko:K02634,"ko00195,ko01100,map00195,map01100",M00162,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,"Apocytochr_F_C,Apocytochr_F_N"
QGA73647.1_Rubisco-expression-protein-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1306,1.93e-183,513,"COG0464@1|root,KOG0730@2759|Eukaryota,2XFQN@2836|Bacillariophyta",2836|Bacillariophyta,O,ATPase family associated with various cellular activities (AAA),cbbX,-,-,-,-,-,-,-,-,-,-,-,AAA
QGA73646.1_photosystem-II-protein-Z-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1426,2.17e-23,90.1,"28WH7@1|root,2R399@2759|Eukaryota,2XH85@2836|Bacillariophyta",2836|Bacillariophyta,G,Controls the interaction of photosystem II (PSII) cores with the light-harvesting antenna,psbZ,-,-,ko:K02724,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Ycf9
QGA73645.1_hypothetical-protein-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1380,1.25e-185,521,"COG0702@1|root,KOG1203@2759|Eukaryota,2XF8I@2836|Bacillariophyta",2836|Bacillariophyta,G,NmrA-like family,ycf39,-,-,-,-,-,-,-,-,-,-,-,NmrA
QGA73644.1_photosystem-I-protein-subunit-III-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWC1,6.1e-106,308,"28NRD@1|root,2QTZ8@2759|Eukaryota,2XFHA@2836|Bacillariophyta",2836|Bacillariophyta,O,Photosystem I reaction centre subunit III,-,-,-,ko:K02694,"ko00195,ko01100,map00195,map01100",M00163,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,PSI_PsaF
QGA73643.1_ATP-synthase-C.1_epsilon-subunit-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWD9,1.7e-71,217,"COG0355@1|root,KOG1758@2759|Eukaryota",2759|Eukaryota,C,"proton-transporting ATP synthase activity, rotational mechanism",atpE,"GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015672,GO:0015985,GO:0015986,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034220,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046034,GO:0046390,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0098655,GO:0098660,GO:0098662,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600",-,"ko:K02114,ko:K02134","ko00190,ko00195,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map00195,map01100,map04714,map05010,map05012,map05016","M00157,M00158",-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,"ATP-synt_DE,ATP-synt_DE_N,PPR"
QGA73642.1_ATP-synthase-C.1_beta-subunit-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1563,8.38e-313,855,"COG0055@1|root,KOG1350@2759|Eukaryota,2XE2T@2836|Bacillariophyta",2836|Bacillariophyta,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,atpB,-,3.6.3.14,ko:K02112,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194,ko01000",3.A.2.1,-,-,"ATP-synt_ab,ATP-synt_ab_N"
QGA73640.1_Sec-independent-protein-translocase-component-TatC-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWE0,3.5e-135,387,"COG0805@1|root,2QVCB@2759|Eukaryota",2759|Eukaryota,U,protein transport by the Tat complex,tatC,"GO:0000003,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006810,GO:0006886,GO:0006996,GO:0008104,GO:0008150,GO:0008320,GO:0008565,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009566,GO:0009567,GO:0009579,GO:0009657,GO:0009668,GO:0009977,GO:0009987,GO:0010027,GO:0015031,GO:0015291,GO:0015399,GO:0015405,GO:0015450,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0019953,GO:0022414,GO:0022804,GO:0022857,GO:0022884,GO:0031224,GO:0031360,GO:0031361,GO:0031976,GO:0031984,GO:0032991,GO:0033036,GO:0033281,GO:0034357,GO:0034613,GO:0042651,GO:0042886,GO:0042887,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043235,GO:0043953,GO:0044422,GO:0044424,GO:0044425,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044703,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051704,GO:0055035,GO:0055085,GO:0061024,GO:0065002,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0071944,GO:0098796,GO:0098797,GO:1904680",-,"ko:K02634,ko:K03118","ko00195,ko01100,ko03060,ko03070,map00195,map01100,map03060,map03070","M00162,M00336",-,-,"ko00000,ko00001,ko00002,ko00194,ko02044",2.A.64,-,-,TatC
QGA73639.1_photosystem-I-subunit-II-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1339,9.82e-92,268,"28I81@1|root,2QQIC@2759|Eukaryota,2XFIZ@2836|Bacillariophyta",2836|Bacillariophyta,S,PsaD,psaD,-,-,ko:K02692,"ko00195,ko01100,map00195,map01100",M00163,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,PsaD
QGA73638.1_cytochrome-b6-f-complex-subunit-IV-(chloroplast)-[Fragilariopsiscylindrus],159749.K0RF53,2.38e-109,315,"COG1290@1|root,KOG4663@2759|Eukaryota,2XEDT@2836|Bacillariophyta",2836|Bacillariophyta,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",petD,-,-,ko:K02637,"ko00195,ko01100,map00195,map01100",M00162,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,Cytochrom_B_C
QGA73637.1_ribosomal-protein-L19-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWJ0,3.86e-55,174,"COG0335@1|root,KOG1698@2759|Eukaryota,2XFXY@2836|Bacillariophyta",2836|Bacillariophyta,J,Ribosomal protein L19,-,"GO:0000313,GO:0000315,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005761,GO:0005762,GO:0005840,GO:0009507,GO:0009536,GO:0015934,GO:0031974,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0070013,GO:0098798,GO:1990904",-,-,-,-,-,-,-,-,-,-,Ribosomal_L19
QGA73636.1_hypothetical-protein-(chloroplast)-[Fragilariopsiscylindrus],2880.D1J770,1.06e-40,136,"2901P@1|root,2SANI@2759|Eukaryota",2759|Eukaryota,S,Ycf66 protein N-terminus,ycf66,-,-,-,-,-,-,-,-,-,-,-,Ycf66_N
QGA73635.1_ferredoxin-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1258,2.16e-58,181,"COG0633@1|root,2S3RJ@2759|Eukaryota,2XGJF@2836|Bacillariophyta",2836|Bacillariophyta,C,Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions,-,-,-,ko:K02639,"ko00195,map00195",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Fer2
QGA73634.1_cytochrome-b6-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft467,7.46e-149,419,"COG1290@1|root,KOG4663@2759|Eukaryota,2XETT@2836|Bacillariophyta",2836|Bacillariophyta,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",petB,-,-,ko:K02635,"ko00195,ko01100,map00195,map01100",M00162,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,Cytochrome_B
QGA73633.1_photosystem-II-cytochrome-c550-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWH0,5.04e-92,271,"2CXNY@1|root,2RYSJ@2759|Eukaryota,2XEME@2836|Bacillariophyta",2836|Bacillariophyta,C,Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II,-,-,-,ko:K02720,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Cytochrom_C550
QGA73632.1_30S-ribosomal-protein-S20-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft989,6.37e-26,99,"COG0268@1|root,2R9BJ@2759|Eukaryota,2XH98@2836|Bacillariophyta",2836|Bacillariophyta,J,Binds directly to 16S ribosomal RNA,-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,Ribosomal_S20p
QGA73631.1_ribosomal-protein-L33-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1243,1.92e-34,118,"COG0267@1|root,2S7HT@2759|Eukaryota,2XH5S@2836|Bacillariophyta",2836|Bacillariophyta,J,Ribosomal protein L33,rpl33,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,Ribosomal_L33
QGA73630.1_photosystem-II-chlorophyll-A-core-antenna-apoprotein-CP43-(chloroplast)-[Fragilariopsiscylindrus],159749.E7BWF9,0,978,"28ISP@1|root,2QR3X@2759|Eukaryota,2XE5P@2836|Bacillariophyta",2836|Bacillariophyta,P,"One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation",-,-,-,ko:K02705,"ko00195,ko01100,map00195,map01100",M00161,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,PSII
QGA73629.1_30S-ribosomal-protein-S2-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft1676,6.14e-115,334,"COG0052@1|root,KOG0832@2759|Eukaryota,2XE8D@2836|Bacillariophyta",2836|Bacillariophyta,J,Ribosomal protein S2,-,"GO:0000313,GO:0000314,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005761,GO:0005763,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009536,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0031974,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0070013,GO:0071704,GO:0098798,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,-,-,-,-,-,-,-,-,-,Ribosomal_S2
QGA73628.1_DNA-directed-RNA-polymerase-beta_-chain-(chloroplast)-[Fragilariopsiscylindrus],35128.Thapsdraft2050,0,1545,"COG0086@1|root,2RUNH@2759|Eukaryota,2XF5V@2836|Bacillariophyta",2836|Bacillariophyta,H,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoC2,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,"RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5"
